201406,1,01/06/14 10:22,01/06/14 11:09,31.237872/121.470259,edbc54bddf16494a49f39ac057b4185d
201406,1,01/06/14 13:02,01/06/14 13:51,31.246946/121.513919,40d41c461cd11402231d8e63b1d57314
201406,1,01/06/14 13:08,01/06/14 15:38,31.232877/121.48753,d8ff6385af928b96af66956b40ca06c4
201406,1,01/06/14 21:07,01/06/14 21:10,31.227933/121.45361,a0b8479e6a6ad65b8a346fdaa45abe11
201406,1,01/06/14 19:38,01/06/14 19:39,31.235682/121.487831,a19e6568c9dd57992a1bba6c6511c7cd
201406,1,01/06/14 14:38,01/06/14 14:48,31.251358/121.485526,0f6a2c60820d724af1841ec78a7152e6
201406,1,01/06/14 21:44,01/06/14 22:01,31.244229/121.475231,e19ec4db67bf81a8bda5b9a803d833a9
201406,1,01/06/14 13:27,01/06/14 16:25,31.23936/121.488752,4d939208ad21ce1739f9e2ae85222142
201406,1,01/06/14 13:40,01/06/14 14:32,31.244859/121.489305,4bb7ac52ca30b3095398d48329a006da
201406,1,01/06/14 13:22,01/06/14 13:32,31.23543/121.447652,e941de7bca467627fb95ae8f908d5f73
201406,1,01/06/14 8:24,01/06/14 11:22,31.239655/121.478097,a3524a352ae4a504daffc622eee58665
201406,1,01/06/14 17:01,01/06/14 17:07,31.228014/121.477667,a1b18a5c1faf10512d9ca1caaa750959
201406,1,01/06/14 10:55,01/06/14 11:07,31.328545/121.538592,b622ffe433a587a4489329528ca5dded
201406,1,01/06/14 14:13,01/06/14 15:21,31.234259/121.52572,795c07baa44a1258a69b0ce8ee30675f
201406,1,01/06/14 18:53,01/06/14 18:59,31.229094/121.480266,4a9a009d29fc6ca7a25984a76a8ebd62
201406,1,01/06/14 22:35,01/06/14 22:59,31.232518/121.465177,47c4de3a088f1b7a3bfd5e0550131c10
201406,1,01/06/14 4:26,01/06/14 4:27,31.225207/121.452948,a97c237eef1b7a9b74f8fbfb1a658281
201406,1,01/06/14 16:23,01/06/14 19:18,31.242893/121.465382,50b811df28c23dfd6365bbea4399c746
201406,1,01/06/14 22:19,01/06/14 22:42,31.240874/121.518086,e831bfb53f02aaed456dc0c6dd7ff805
201406,1,01/06/14 19:49,01/06/14 20:25,31.217516/121.452872,e7cc33b2e9745b5c0f79c31d994cfe88
201406,1,01/06/14 11:53,01/06/14 12:02,31.228017/121.444777,18fbdc92bd340c6ad7ee27052799acda
201406,1,01/06/14 16:07,01/06/14 16:10,31.221325/121.448881,ff047df44b83a3da7f42a10f709e561a
201406,1,01/06/14 8:31,01/06/14 9:17,31.23271/121.455345,09fa62d6b318b7426bc92bf3f84f7198
201406,1,01/06/14 17:11,01/06/14 17:55,31.236138/121.463199,55c8a6c85e9765066a65eb896c3d5719
201406,1,01/06/14 15:01,01/06/14 15:09,31.225275/121.47164,a943bb90d85004dc9affbf756833e30d
201406,1,01/06/14 15:11,01/06/14 15:32,31.24143/121.475172,8a2184c06c9dfdc5a0c43fc5de35159a
201406,1,01/06/14 9:22,01/06/14 9:47,31.232857/121.475333,f8206ab58b9bdb070673f7050242e9ee
201406,1,01/06/14 13:19,01/06/14 13:44,31.228726/121.482748,7f5d5ac23f77002bba350b43727a35f2
201406,1,01/06/14 16:40,01/06/14 16:41,31.236381/121.484201,b6b4c96198a3891485afe931daa8046f
201406,1,01/06/14 6:25,01/06/14 6:59,31.242514/121.493696,b673bbaf6a1a88da5128891c16dc3087
201406,1,01/06/14 7:57,01/06/14 7:58,31.233516/121.491431,87a6d39393fad78e096e84ed1160953d
201406,1,01/06/14 7:57,01/06/14 7:58,31.233516/121.491431,87a6d39393fad78e096e84ed1160953d
201406,1,01/06/14 11:47,01/06/14 14:47,,9e719b94cb914f4607cc00ec919bc0de
201406,1,01/06/14 8:44,01/06/14 11:41,31.22622/121.506261,9e719b94cb914f4607cc00ec919bc0de
201406,1,01/06/14 16:13,01/06/14 16:35,31.223981/121.478274,54848a2295111807f9a2559e5b8b75ec
201406,1,01/06/14 11:47,01/06/14 11:52,31.224117/121.4732,4d3ecfa4133a22b127956944e8ba81b0
201406,1,01/06/14 9:35,01/06/14 10:17,31.256071/121.462096,dfaa9308e73b344810ca7cadf55006a3
201406,1,01/06/14 14:38,01/06/14 16:38,31.237435/121.455917,6745c726504ba7e968fe6e6d58d9ee3a
201406,1,01/06/14 12:15,01/06/14 14:43,31.236009/121.478941,667793d42b6cc20052470b6c5bdd7dca
201406,1,01/06/14 13:46,01/06/14 14:01,31.224552/121.482535,5d2fd7f4b48174fb7ef9c4b9b8634d52
201406,1,01/06/14 13:58,01/06/14 13:58,31.200811/121.444401,4d41d51240785ba6c0eddf22472d1551
201406,1,01/06/14 16:16,01/06/14 16:21,31.166058/121.403691,0473d184879abe4a5bdd6bb41a0c4e24
201406,1,01/06/14 7:20,01/06/14 7:37,31.228047/121.425893,4c8f255ac8bebc20d6506971e21e6756
201406,1,01/06/14 10:29,01/06/14 10:32,31.224154/121.43807,56a38caa300791ccd675e4f8937986a9
201406,1,01/06/14 18:43,01/06/14 18:59,31.229071/121.452449,57ef62c8f59ff3f174bd1afec7f40f87
